puzzle_id,side_to_move,initial_cp,first_move,branch_1_success,branch_1_cp,branch_2_success,branch_2_cp,pv_is_branch,stockfish_prefers_branch,agrees_with_pv
0hgJT,White,-13,h2g2,True,-550,True,0,1,2,False
1zJDp,Black,0,f5g3,True,0,True,667,2,1,False
2JetC,Black,63,f5b5,True,602,True,-424,1,2,False
3mLih,White,413,f1f5,True,-68,True,-2331,2,1,False
5MHT9,Black,26,f6h4,True,487,True,-25,1,2,False
8I4mT,Black,30000,g8g7,True,-30000,True,-394,1,1,True
94W88,Black,-377,h5f3,True,436,True,0,1,2,False
BXtVX,Black,-446,e7f7,True,-370,True,336,2,1,False
C8TuT,Black,0,e7c5,True,585,True,63,1,2,False
CcOcw,Black,-284,c8c5,True,-26,True,806,2,1,False
DhiUK,White,55,e3e4,True,129,True,-682,2,1,False
DofbK,Black,-472,f4d2,True,685,True,73,1,2,False
Hvqj4,Black,-66,d8h4,True,0,True,792,2,1,False
IpzPZ,Black,-89,e5f3,True,688,True,0,1,2,False
JKxFK,Black,0,g7g6,True,5425,True,159,1,2,False
KAqBP,Black,-584,c6d8,True,-91,True,631,2,1,False
MMxqC,White,0,g2f2,True,-807,True,805,1,2,False
OG6mG,Black,0,c5d3,True,0,True,788,2,1,False
OHz0l,White,278,c3e4,True,-723,True,224,1,2,False
OTXjy,White,141,g5f4,True,-559,True,-31,1,2,False
PKrMW,White,735,c2c6,True,139,True,-447,2,1,False
Q1rVf,White,642,d7d6,True,-417,True,382,1,2,False
QDLvK,Black,-113,a4b3,True,0,True,944,2,1,False
R3kqA,Black,0,e5e4,True,-536,True,576,2,1,False
RK2tO,White,0,c6b4,True,-460,True,-23,1,2,False
RlZcx,Black,0,f8g8,True,6,True,477,2,1,False
SFvTF,White,1012,g2f1,True,-397,True,790,1,2,False
SYsZk,White,75,f4h4,True,-808,True,27,1,2,False
SknMr,Black,-798,b2a1,True,559,True,-181,1,2,False
Xfepi,White,723,b3b4,True,553,True,-395,2,1,False
